Timestamp,Name,Date,Comment,Wikipedia link,,Approved
8/23/2023 21:40:51,Yevgeny Prigozhin,2023-08-23,"lol, lmfao fragged",https://en.wikipedia.org/wiki/Yevgeny_Prigozhin,,
8/16/2023 10:22:51,Herbert J. Siegel,2023-08-11,cold heart gave out,https://en.wikipedia.org/wiki/Herbert_J._Siegel,,
8/9/2023 12:32:28,James Crown,2023-06-25,"racecar crash lol, lmao",,,
8/9/2023 12:32:28,Hamish Harding,2023-06-18,"titan implosion lol, lmao",,,
8/9/2023 12:32:28,Shahzada Dawood,2023-06-18,"titan implosion lol, lmao",,,
8/9/2023 12:32:28,Masatoshi Ito,2023-03-10,"lol, old",https://en.wikipedia.org/wiki/Masatoshi_Ito,,
8/9/2023 12:32:28,Dietrich Mateschitz,2022-10-01,old lol,,,
8/9/2023 12:32:28,Leonardo Del Vecchio,2022-06-01,old lol,,,
8/9/2023 12:32:28,Pallonji Mistry,2022-06-01,old lol,,,
8/9/2023 12:22:12,Gordon Moore,2023-03-24,"lol, old",https://en.wikipedia.org/wiki/Gordon_Moore,,
